ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
79656_at	6.98e-09	5.77e-11	8.51	14.89747	1.62	BEND5	BEN domain containing 5	BEND5	BEN domain containing 5
221336_at	0.000115	1.08e-05	-4.94	3.05167	-1.66	BEND6	BEN domain containing 6	ATOH1	atonal bHLH transcription factor 1
222389_at	0.0261	0.00729	2.81	-3.12457	0.0932	BEND7	BEN domain containing 7	BEND7	BEN domain containing 7
7439_at	0.436	0.254	1.16	-6.13116	0.0428	BEST1	bestrophin 1	BEST1	bestrophin 1
54831_at	1	0.902	-0.124	-6.78709	-0.000264	BEST2	bestrophin 2	BEST2	bestrophin 2
144453_at	0.352	0.19	1.33	-5.91842	0.426	BEST3	bestrophin 3	BEST3	bestrophin 3
266675_at	0.423	0.243	-1.18	-6.09981	-0.053	BEST4	bestrophin 4	BEST4	bestrophin 4
10282_at	0.0168	0.00427	-3.01	-2.63372	-0.435	BET1	Bet1 golgi vesicular membrane trafficking protein	BET1	Bet1 golgi vesicular membrane trafficking protein
51272_at	0.0243	0.00666	-2.84	-3.0424	-0.34	BET1L	Bet1 golgi vesicular membrane trafficking protein like	BET1L	Bet1 golgi vesicular membrane trafficking protein like
55859_at	0.874	0.727	-0.352	-6.73253	-0.132	BEX1	brain expressed X-linked 1	BEX1	brain expressed X-linked 1
84707_at	0.00743	0.00161	3.35	-1.72796	1.74	BEX2	brain expressed X-linked 2	BEX2	brain expressed X-linked 2
27018_at	0.000333	3.84e-05	-4.56	1.82927	-0.626	BEX3	brain expressed X-linked 3	BEX3	brain expressed X-linked 3
56271_at	3.61e-05	2.58e-06	5.37	4.44028	1.99	BEX4	brain expressed X-linked 4	BEX4	brain expressed X-linked 4
340542_at	0.482	0.293	1.06	-6.23114	0.518	BEX5	brain expressed X-linked 5	BEX5	brain expressed X-linked 5
51283_at	0.000203	2.12e-05	-4.74	2.40181	-0.648	BFAR	bifunctional apoptosis regulator	BFAR	bifunctional apoptosis regulator
631_at	0.00312	0.000562	-3.71	-0.73542	-0.837	BFSP1	beaded filament structural protein 1	BFSP1	beaded filament structural protein 1
8419_at	0.512	0.327	-0.991	-6.30484	-0.0141	BFSP2	beaded filament structural protein 2	BFSP2	beaded filament structural protein 2
632_at	0.551	0.371	-0.903	-6.38662	-0.217	BGLAP	bone gamma-carboxyglutamate protein	GSK3A	glycogen synthase kinase 3 alpha
633_at	0.0035	0.000645	-3.66	-0.86617	-1.09	BGN	biglycan	BGN	biglycan
80823_at	1	0.914	-0.108	-6.78895	-0.0215	BHLHB9	basic helix-loop-helix domain containing, class B, 9	BHLHB9	basic helix-loop-helix domain containing, class B, 9
27319_at	0.109	0.0418	2.09	-4.68251	0.207	BHLHE22	basic helix-loop-helix family member e22	BHLHE22	basic helix-loop-helix family member e22
128408_at	0.882	0.738	0.336	-6.73793	8e-04	BHLHE23	basic helix-loop-helix family member e23	BHLHE23	basic helix-loop-helix family member e23
8553_at	0.83	0.675	0.422	-6.70508	0.106	BHLHE40	basic helix-loop-helix family member e40	BHLHE40	basic helix-loop-helix family member e40
79365_at	0.498	0.31	-1.03	-6.27003	-0.103	BHLHE41	basic helix-loop-helix family member e41	BHLHE41	basic helix-loop-helix family member e41
388553_at	0.622	0.444	0.771	-6.49647	0.0381	BHMG1	basic helix-loop-helix and HMG-box containing 1	BHMG1	basic helix-loop-helix and HMG-box containing 1
635_at	0.854	0.703	0.384	-6.72069	0.00111	BHMT	betaine--homocysteine S-methyltransferase	BHMT	betaine--homocysteine S-methyltransferase
23743_at	0.0148	0.00367	3.06	-2.4931	1.19	BHMT2	betaine--homocysteine S-methyltransferase 2	BHMT2	betaine--homocysteine S-methyltransferase 2
80114_at	0.706	0.533	0.628	-6.59692	0.0525	BICC1	BicC family RNA binding protein 1	BICC1	BicC family RNA binding protein 1
636_at	0.00174	0.000278	-3.94	-0.06754	-0.91	BICD1	BICD cargo adaptor 1	BICD1	BICD cargo adaptor 1
23299_at	0.159	0.0673	-1.87	-5.0872	-0.447	BICD2	BICD cargo adaptor 2	BICD2	BICD cargo adaptor 2
92558_at	1	0.989	0.0133	-6.79476	0.0011	BICDL1	BICD family like cargo adaptor 1	BICDL1	BICD family like cargo adaptor 1
146439_at	1.92e-05	1.2e-06	5.6	5.18468	2.19	BICDL2	BICD family like cargo adaptor 2	BICDL2	BICD family like cargo adaptor 2
637_at	0.000253	2.76e-05	-4.66	2.14489	-1.37	BID	BH3 interacting domain death agonist	BID	BH3 interacting domain death agonist
638_at	0.0097	0.00222	-3.24	-2.02827	-1.37	BIK	BCL2 interacting killer	BIK	BCL2 interacting killer
274_at	0.0649	0.0222	2.37	-4.12689	0.973	BIN1	bridging integrator 1	BIN1	bridging integrator 1
51411_at	1	0.972	0.0351	-6.79423	0.0131	BIN2	bridging integrator 2	BIN2	bridging integrator 2
55909_at	0.853	0.702	-0.385	-6.71997	-0.0578	BIN3	bridging integrator 3	BIN3	bridging integrator 3
329_at	0.0386	0.0118	-2.62	-3.56129	-0.634	BIRC2	baculoviral IAP repeat containing 2	BIRC2	baculoviral IAP repeat containing 2
330_at	0.287	0.144	-1.49	-5.70333	-0.554	BIRC3	baculoviral IAP repeat containing 3	BIRC3	baculoviral IAP repeat containing 3
332_at	1.43e-09	7.3e-12	-9.14	16.91695	-2.58	BIRC5	baculoviral IAP repeat containing 5	BIRC5	baculoviral IAP repeat containing 5
57448_at	0.678	0.502	0.676	-6.56519	0.0697	BIRC6	baculoviral IAP repeat containing 6	BIRC6	baculoviral IAP repeat containing 6
79444_at	0.27	0.133	1.53	-5.64154	0.0922	BIRC7	baculoviral IAP repeat containing 7	BIRC7	baculoviral IAP repeat containing 7
54841_at	0.0511	0.0166	2.49	-3.86847	0.348	BIVM	basic, immunoglobulin-like variable motif containing	BIVM	basic, immunoglobulin-like variable motif containing
10904_at	0.0327	0.0096	-2.7	-3.3756	-0.463	BLCAP	bladder cancer associated protein	BLCAP	bladder cancer associated protein
414899_at	1	0.971	-0.0366	-6.79417	-7.73e-05	BLID	BH3-like motif containing, cell death inducer	BLID	BH3-like motif containing, cell death inducer
640_at	0.657	0.481	0.71	-6.54167	0.00852	BLK	BLK proto-oncogene, Src family tyrosine kinase	BLK	BLK proto-oncogene, Src family tyrosine kinase
641_at	4.65e-05	3.53e-06	-5.28	4.1356	-1.95	BLM	Bloom syndrome RecQ like helicase	BLM	Bloom syndrome RecQ like helicase
642_at	0.712	0.541	-0.616	-6.60387	-0.118	BLMH	bleomycin hydrolase	BLMH	bleomycin hydrolase
29760_at	9.69e-07	3.06e-08	6.66	8.7634	2.34	BLNK	B-cell linker	BLNK	B-cell linker
2647_at	7.53e-05	6.4e-06	5.1	3.55955	0.846	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1
282991_at	0.966	0.847	0.194	-6.77584	0.0186	BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2	BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2
55330_at	1	0.956	-0.0556	-6.79329	-0.00883	BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4	BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4
63915_at	0.292	0.147	-1.47	-5.72262	-0.199	BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5	BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5
26258_at	0.96	0.84	-0.203	-6.77416	-0.0164	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6
644_at	0.0579	0.0192	2.43	-4.00139	0.398	BLVRA	biliverdin reductase A	BLVRA	biliverdin reductase A
645_at	0.00218	0.000362	3.85	-0.31992	0.941	BLVRB	biliverdin reductase B	BLVRB	biliverdin reductase B
8548_at	0.542	0.361	0.922	-6.36987	0.201	BLZF1	basic leucine zipper nuclear factor 1	BLZF1	basic leucine zipper nuclear factor 1
90427_at	0.0261	0.00727	-2.81	-3.12227	-0.387	BMF	Bcl2 modifying factor	BMF	Bcl2 modifying factor
649_at	7.39e-07	2.13e-08	-6.77	9.11736	-1.32	BMP1	bone morphogenetic protein 1	BMP1	bone morphogenetic protein 1
27302_at	1	0.894	0.134	-6.78577	0.000286	BMP10	bone morphogenetic protein 10	BMP10	bone morphogenetic protein 10
9210_at	0.519	0.337	0.971	-6.32418	0.0124	BMP15	bone morphogenetic protein 15	BMP15	bone morphogenetic protein 15
650_at	0.289	0.145	-1.48	-5.71239	-0.456	BMP2	bone morphogenetic protein 2	BMP2	bone morphogenetic protein 2
55589_at	0.135	0.0547	-1.97	-4.91283	-0.423	BMP2K	BMP2 inducible kinase	BMP2K	BMP2 inducible kinase
651_at	1	1	0	-6.79485	0	BMP3	bone morphogenetic protein 3	BMP3	bone morphogenetic protein 3
652_at	0.000661	8.64e-05	4.31	1.04871	0.782	BMP4	bone morphogenetic protein 4	BMP4	bone morphogenetic protein 4
653_at	0.866	0.718	-0.364	-6.72821	-0.0952	BMP5	bone morphogenetic protein 5	BMP5	bone morphogenetic protein 5
654_at	0.00689	0.00147	3.39	-1.64407	0.528	BMP6	bone morphogenetic protein 6	BMP6	bone morphogenetic protein 6
655_at	0.0524	0.0171	2.48	-3.89511	0.881	BMP7	bone morphogenetic protein 7	BMP7	bone morphogenetic protein 7
353500_at	0.258	0.125	-1.56	-5.59495	-0.0554	BMP8A	bone morphogenetic protein 8a	BMP8A	bone morphogenetic protein 8a
656_at	1	0.973	0.0342	-6.79426	0.000833	BMP8B	bone morphogenetic protein 8b	BMP8B	bone morphogenetic protein 8b
168667_at	0.676	0.501	-0.678	-6.56382	-0.0536	BMPER	BMP binding endothelial regulator	BMPER	BMP binding endothelial regulator
