Updated.gene.symbol	logFC	P.Value
AMPH	0.39332122	0.222
AMT	0.90233974	5.05e-07
ANAPC10	-0.27692467	0.325
ANAPC13	-0.32458541	0.0259
ANAPC15	-0.08002321	0.515
ANAPC5	-0.01496409	0.898
ANG	1.71804369	1.19e-06
ANGEL1	0.22096168	0.158
ANGEL2	1.01872838	0.00175
ANGPT1	1.30963242	7.4e-05
ANGPT2	-0.9031817	0.00602
ANGPTL2	0.3382542	0.106
ANGPTL7	1.26448385	0.000201
ANK1	1.39434639	3.35e-07
ANK2	1.31563058	5.53e-05
ANK3	1.02203402	0.00367
ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3	0.80492975	1.25e-07
ANKLE2	-0.84592926	6.03e-05
ANKMY2	0.99528686	1.22e-07
ANKRD1	0.64893035	0.183
ANKRD12	0.47145334	0.0025
ANKRD17	-0.12554342	0.338
ANKRD26	0.82136802	0.00299
ANKRD28	0.24647137	0.333
ANKRD34C	0.61694209	0.0807
ANKRD36C///ANKRD36///ANKRD36B	0.08039238	0.806
ANKRD40	0.46549326	0.0728
ANKRD46	0.55709442	0.00202
ANKRD6	1.55459759	8.83e-07
ANKRD7	0.36045751	0.352
ANKS1A	-0.11636474	0.373
ANO3	0.79949631	0.056
ANOS1	0.54101697	0.0129
ANP32A	0.3211726	0.00867
ANP32B	-0.62747859	0.000312
ANP32E	-0.43792358	0.00586
ANPEP	-0.00556582	0.979
ANXA1	-1.12503846	0.00948
ANXA10	0.22731507	0.312
ANXA11	0.66218131	1.84e-07
ANXA13	0.14128645	0.642
ANXA2	-1.94932541	5.95e-10
ANXA2P1	-2.18617516	6.97e-10
ANXA2P3///ANXA2P1///ANXA2	-0.9131354	1.58e-06
ANXA3	-0.5168207	0.196
ANXA4	-0.41119568	0.0238
ANXA5	-0.43498698	0.00323
ANXA6	0.98111043	1.11e-07
ANXA7	-0.0433166	0.773
ANXA8L1///ANXA8	-2.1200361	3.52e-06
ANXA9	0.29976903	0.429
AOAH	0.10640069	0.724
AOC1	-0.25771942	0.286
AOC2	0.59269425	0.0138
AOC3	2.23938598	9.07e-09
AOC4P	0.61748365	0.0105
AOX1	0.98630129	0.00199
AP1B1	-0.22143122	0.0914
AP1G1	-0.34889636	0.0391
AP1G2	-0.6369618	0.0105
AP1S1	-1.32511063	1.85e-07
AP1S2	1.22611976	1.49e-06
AP2A2	0.41493635	0.00588
AP2B1	-0.37738578	0.0427
AP2M1	-0.80436892	6.17e-11
AP2S1	-0.95330857	1.59e-09
AP3B1	-0.32908607	0.0283
AP3B2	0.27890476	0.24
AP3D1	-0.38669062	0.01
AP3M2	0.23565731	0.354
AP3S1	-0.56760374	7.8e-05
AP4E1	0.52972808	0.0554
AP4M1	0.16374282	0.452
AP4S1	0.29693038	0.308
APAF1	0.33582733	0.333
APBA1	0.28842631	0.4
APBA2	-0.42944768	0.13
APBA3	-0.36895559	0.117
APBB1	1.14063151	4.64e-06
APBB2	0.88456084	0.00116
APC	0.72132981	0.0131
APC2	0.64480734	0.00258
APCS	1.09667673	0.000684
APEX1	-0.39769843	0.000678
APEX2	-1.05075665	1.07e-06
API5	0.75859552	0.00507
APITD1-CORT///APITD1	-0.36021956	0.0769
APITD1-CORT///APITD1///CORT	-0.31873116	0.16
APLNR	0.67489832	0.00481
APLP1	0.40073303	0.0697
APLP2	-0.39476548	0.0359
APOA1	0.90587102	0.000998
APOA4	0.42266527	0.0981
APOB	0.87029865	0.0147
APOBEC1	0.91627519	0.00435
APOBEC2	1.09252779	0.00258
